locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMKOHAHG_01403	CDS	135				hypothetical protein
IMKOHAHG_01404	CDS	261				hypothetical protein
IMKOHAHG_01405	CDS	687				hypothetical protein
IMKOHAHG_01406	CDS	837				hypothetical protein
IMKOHAHG_01407	CDS	699				hypothetical protein
IMKOHAHG_01408	CDS	432				hypothetical protein
IMKOHAHG_01409	CDS	369				hypothetical protein
IMKOHAHG_01410	CDS	252				hypothetical protein
IMKOHAHG_01411	CDS	507				hypothetical protein
IMKOHAHG_01412	CDS	1089	yjmC_1	1.1.1.-	COG2055	putative oxidoreductase YjmC
IMKOHAHG_01413	CDS	1005		5.1.3.21	COG2017	Maltose epimerase
IMKOHAHG_01414	CDS	1383	xylT_2			D-xylose transporter
IMKOHAHG_01415	CDS	759	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IMKOHAHG_01416	CDS	618				hypothetical protein
IMKOHAHG_01417	CDS	2325	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IMKOHAHG_01418	CDS	459	slyA_2			Transcriptional regulator SlyA
IMKOHAHG_01419	CDS	654	cap8A		COG3944	Capsular polysaccharide type 8 biosynthesis protein cap8A
IMKOHAHG_01420	CDS	639	ywqD_1	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
IMKOHAHG_01421	CDS	1821	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
IMKOHAHG_01422	CDS	624	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
IMKOHAHG_01423	CDS	1290				hypothetical protein
IMKOHAHG_01424	CDS	1128	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
IMKOHAHG_01425	CDS	1110	epsD	2.4.-.-		Putative glycosyltransferase EpsD
IMKOHAHG_01426	CDS	1284				hypothetical protein
IMKOHAHG_01427	CDS	822	epsE	2.4.-.-	COG0463	Putative glycosyltransferase EpsE
IMKOHAHG_01428	CDS	981				hypothetical protein
IMKOHAHG_01429	CDS	1563				hypothetical protein
IMKOHAHG_01430	CDS	2310		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
IMKOHAHG_01431	CDS	1386				hypothetical protein
IMKOHAHG_01432	CDS	999	ccpA_2		COG1609	Catabolite control protein A
IMKOHAHG_01433	CDS	321				hypothetical protein
IMKOHAHG_01434	CDS	1107				hypothetical protein
IMKOHAHG_01435	CDS	495				hypothetical protein
IMKOHAHG_01436	CDS	687	gpmA_7	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_01437	CDS	1062				hypothetical protein
IMKOHAHG_01438	CDS	1362				hypothetical protein
IMKOHAHG_01439	rRNA	113				5S ribosomal RNA
IMKOHAHG_01440	tRNA	94				tRNA-Ser(gga)
IMKOHAHG_01441	tRNA	73				tRNA-Glu(ttc)
IMKOHAHG_01442	tRNA	74				tRNA-Val(tac)
IMKOHAHG_01443	tRNA	75				tRNA-Phe(gaa)
IMKOHAHG_01444	tRNA	85				tRNA-Tyr(gta)
IMKOHAHG_01445	tRNA	72				tRNA-Trp(cca)
IMKOHAHG_01446	tRNA	74				tRNA-His(gtg)
IMKOHAHG_01447	tRNA	71				tRNA-Cys(gca)
IMKOHAHG_01448	tRNA	86				tRNA-Leu(caa)
IMKOHAHG_01449	CDS	1518				IS66 family transposase ISCce5
IMKOHAHG_01450	CDS	357				hypothetical protein
IMKOHAHG_01451	CDS	177				hypothetical protein
IMKOHAHG_01452	CDS	1992	nhaK_4		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
IMKOHAHG_01453	CDS	2214	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
IMKOHAHG_01454	CDS	582				hypothetical protein
IMKOHAHG_01455	CDS	756	sufC		COG0396	Vegetative protein 296
IMKOHAHG_01456	CDS	1164				hypothetical protein
IMKOHAHG_01457	CDS	1206	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
IMKOHAHG_01458	CDS	432	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
IMKOHAHG_01459	CDS	1410				hypothetical protein
IMKOHAHG_01460	CDS	1326	guaD	3.5.4.3	COG0402	Guanine deaminase
IMKOHAHG_01461	CDS	1341				Nucleobase transporter PlUacP
IMKOHAHG_01462	CDS	714				hypothetical protein
IMKOHAHG_01463	CDS	516				hypothetical protein
IMKOHAHG_01464	CDS	1191				hypothetical protein
IMKOHAHG_01465	CDS	1341	steT_3		COG0531	Serine/threonine exchanger SteT
IMKOHAHG_01466	CDS	1122				hypothetical protein
IMKOHAHG_01467	CDS	903				hypothetical protein
IMKOHAHG_01468	CDS	291				hypothetical protein
IMKOHAHG_01469	CDS	1185	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
IMKOHAHG_01470	CDS	756				hypothetical protein
IMKOHAHG_01471	CDS	690	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
IMKOHAHG_01472	CDS	1167	yknZ		COG0577	putative ABC transporter permease YknZ
IMKOHAHG_01473	CDS	192				hypothetical protein
IMKOHAHG_01474	CDS	702				hypothetical protein
IMKOHAHG_01475	CDS	156				hypothetical protein
IMKOHAHG_01476	CDS	183				hypothetical protein
IMKOHAHG_01477	CDS	123				hypothetical protein
IMKOHAHG_01478	CDS	1248				hypothetical protein
IMKOHAHG_01479	CDS	738	agrA_1		COG3279	Accessory gene regulator protein A
IMKOHAHG_01480	CDS	168				hypothetical protein
IMKOHAHG_01481	CDS	177				hypothetical protein
IMKOHAHG_01482	CDS	192				hypothetical protein
IMKOHAHG_01483	CDS	2178	lagD	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
IMKOHAHG_01484	CDS	1377	lcnD			Lactococcin A secretion protein LcnD
IMKOHAHG_01485	CDS	351				hypothetical protein
IMKOHAHG_01486	CDS	1074	ykfB	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
IMKOHAHG_01487	CDS	360				hypothetical protein
IMKOHAHG_01488	CDS	336				hypothetical protein
IMKOHAHG_01489	CDS	303				hypothetical protein
IMKOHAHG_01490	CDS	483				hypothetical protein
IMKOHAHG_01491	CDS	1989	tkt	2.2.1.1		Transketolase
IMKOHAHG_01492	CDS	681	rspR_1		COG1802	HTH-type transcriptional repressor RspR
IMKOHAHG_01493	CDS	1074	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
IMKOHAHG_01494	CDS	1419	lacS_2		COG2190	Lactose permease
IMKOHAHG_01495	CDS	243				hypothetical protein
IMKOHAHG_01496	CDS	1173	galK_2	2.7.1.6	COG0153	Galactokinase
IMKOHAHG_01497	CDS	1458	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
IMKOHAHG_01498	CDS	1005	melR		COG1609	HTH-type transcriptional repressor MelR
IMKOHAHG_01499	CDS	765	xynR		COG1414	HTH-type transcriptional regulator XynR
IMKOHAHG_01500	CDS	816	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
IMKOHAHG_01501	CDS	645	kdgA_1		COG0800	KHG/KDPG aldolase
IMKOHAHG_01502	CDS	882	yvgN_3	1.1.1.-	COG0656	Glyoxal reductase
IMKOHAHG_01503	CDS	957	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
IMKOHAHG_01504	CDS	606	nth	4.2.99.18		Endonuclease III
IMKOHAHG_01505	CDS	447				Acid shock protein
IMKOHAHG_01506	CDS	204				hypothetical protein
IMKOHAHG_01507	CDS	534				hypothetical protein
IMKOHAHG_01508	CDS	1362	cycA_3		COG1113	D-serine/D-alanine/glycine transporter
IMKOHAHG_01509	CDS	1056	adhA_2	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
IMKOHAHG_01510	CDS	957	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
IMKOHAHG_01511	CDS	453	perR		COG0735	Peroxide-responsive repressor PerR
IMKOHAHG_01512	CDS	1419	ribZ_3			Riboflavin transporter RibZ
IMKOHAHG_01513	CDS	2676				hypothetical protein
IMKOHAHG_01514	CDS	480				hypothetical protein
IMKOHAHG_01515	CDS	1926				hypothetical protein
IMKOHAHG_01516	CDS	297	rpsF		COG0360	30S ribosomal protein S6
IMKOHAHG_01517	CDS	531	ssbA		COG0629	Single-stranded DNA-binding protein A
IMKOHAHG_01518	CDS	237	rpsR		COG0238	30S ribosomal protein S18
IMKOHAHG_01519	CDS	558				hypothetical protein
IMKOHAHG_01520	CDS	753				hypothetical protein
IMKOHAHG_01521	CDS	2022	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
IMKOHAHG_01522	CDS	453	rplI			50S ribosomal protein L9
IMKOHAHG_01523	CDS	1386	dnaC_2	3.6.4.12	COG0305	Replicative DNA helicase
IMKOHAHG_01524	CDS	1179				hypothetical protein
IMKOHAHG_01525	CDS	321				hypothetical protein
IMKOHAHG_01526	CDS	1746	pox5	1.2.3.3	COG0028	Pyruvate oxidase
IMKOHAHG_01527	CDS	924				Zinc-type alcohol dehydrogenase-like protein
IMKOHAHG_01528	CDS	759	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IMKOHAHG_01529	tRNA	75				tRNA-Lys(ctt)
IMKOHAHG_01530	CDS	702	walR_2		COG0745	Transcriptional regulatory protein WalR
IMKOHAHG_01531	CDS	1863	walK	2.7.13.3		Sensor histidine kinase WalK
IMKOHAHG_01532	CDS	1308				hypothetical protein
IMKOHAHG_01533	CDS	834	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
IMKOHAHG_01534	CDS	807	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
IMKOHAHG_01535	CDS	1293	htrA_1	3.4.21.107	COG0265	Serine protease Do-like HtrA
IMKOHAHG_01536	CDS	3084	carB_3	6.3.5.5	COG0458	Carbamoyl-phosphate synthase arginine-specific large chain
IMKOHAHG_01537	CDS	1083	carA_4	6.3.5.5	COG0505	Carbamoyl-phosphate synthase arginine-specific small chain
IMKOHAHG_01538	CDS	1029	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
IMKOHAHG_01539	CDS	1206	argJ			Arginine biosynthesis bifunctional protein ArgJ
IMKOHAHG_01540	CDS	744	argB	2.7.2.8	COG0548	Acetylglutamate kinase
IMKOHAHG_01541	CDS	1137	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
IMKOHAHG_01542	CDS	1020	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
IMKOHAHG_01543	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
IMKOHAHG_01544	CDS	492				hypothetical protein
IMKOHAHG_01545	CDS	1170				hypothetical protein
IMKOHAHG_01546	CDS	645	gph_3	3.1.3.18	COG0546	Phosphoglycolate phosphatase
IMKOHAHG_01547	CDS	405				hypothetical protein
IMKOHAHG_01548	CDS	1293				hypothetical protein
IMKOHAHG_01549	CDS	1365				ISLre2 family transposase ISLho1
IMKOHAHG_01550	CDS	1545	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
IMKOHAHG_01551	CDS	1326	eno2	4.2.1.11	COG0148	Enolase 2
IMKOHAHG_01552	CDS	759	tpiA	5.3.1.1		Triosephosphate isomerase
IMKOHAHG_01553	CDS	537				hypothetical protein
IMKOHAHG_01554	CDS	831				hypothetical protein
IMKOHAHG_01555	CDS	507				hypothetical protein
IMKOHAHG_01556	CDS	1230				hypothetical protein
IMKOHAHG_01557	CDS	2253				hypothetical protein
IMKOHAHG_01558	CDS	207				hypothetical protein
IMKOHAHG_01559	CDS	270				hypothetical protein
IMKOHAHG_01560	CDS	1203	pgk	2.7.2.3		Phosphoglycerate kinase
IMKOHAHG_01561	CDS	1017	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
IMKOHAHG_01562	tRNA	77				tRNA-Arg(ccg)
IMKOHAHG_01563	CDS	927		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
IMKOHAHG_01564	CDS	126				hypothetical protein
IMKOHAHG_01565	CDS	147				hypothetical protein
IMKOHAHG_01566	CDS	597	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
IMKOHAHG_01567	CDS	936	whiA		COG1481	putative cell division protein WhiA
IMKOHAHG_01568	CDS	1002			COG0391	Putative gluconeogenesis factor
IMKOHAHG_01569	CDS	885	yvcJ		COG1660	Nucleotide-binding protein YvcJ
IMKOHAHG_01570	CDS	987				hypothetical protein
IMKOHAHG_01571	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
IMKOHAHG_01572	CDS	1224	argG	6.3.4.5		Argininosuccinate synthase
IMKOHAHG_01573	CDS	471	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
IMKOHAHG_01574	CDS	2838	uvrA_2			UvrABC system protein A
IMKOHAHG_01575	CDS	2004	uvrB		COG0556	UvrABC system protein B
IMKOHAHG_01576	CDS	642	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
IMKOHAHG_01577	CDS	1725	pgcA	5.4.2.2		Phosphoglucomutase
IMKOHAHG_01578	CDS	942	trxB	1.8.1.9	COG0492	Thioredoxin reductase
IMKOHAHG_01579	CDS	1602				hypothetical protein
IMKOHAHG_01580	CDS	1548				hypothetical protein
IMKOHAHG_01581	CDS	114				hypothetical protein
IMKOHAHG_01582	CDS	1482				hypothetical protein
IMKOHAHG_01583	CDS	3198				hypothetical protein
IMKOHAHG_01584	CDS	1509				hypothetical protein
IMKOHAHG_01585	CDS	459	cinA_2			Putative competence-damage inducible protein
IMKOHAHG_01586	CDS	543				hypothetical protein
IMKOHAHG_01587	CDS	192				hypothetical protein
IMKOHAHG_01588	CDS	396			COG1302	Alkaline shock protein 23
IMKOHAHG_01589	CDS	255				hypothetical protein
IMKOHAHG_01590	CDS	849	ydaD	1.-.-.-		General stress protein 39
IMKOHAHG_01591	CDS	225				hypothetical protein
IMKOHAHG_01592	CDS	459				hypothetical protein
IMKOHAHG_01593	CDS	1344				hypothetical protein
IMKOHAHG_01594	CDS	363				hypothetical protein
IMKOHAHG_01595	CDS	705				hypothetical protein
IMKOHAHG_01596	CDS	1071				hypothetical protein
IMKOHAHG_01597	CDS	1152				hypothetical protein
IMKOHAHG_01598	CDS	972	ansA	3.5.1.1	COG0252	putative L-asparaginase
IMKOHAHG_01599	CDS	543	tag_2	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
IMKOHAHG_01600	CDS	267				hypothetical protein
IMKOHAHG_01601	CDS	351				hypothetical protein
IMKOHAHG_01602	CDS	957				hypothetical protein
IMKOHAHG_01603	CDS	555				hypothetical protein
IMKOHAHG_01604	CDS	729				hypothetical protein
IMKOHAHG_01605	CDS	777	budC_2	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
IMKOHAHG_01606	CDS	282	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
IMKOHAHG_01607	CDS	264				hypothetical protein
IMKOHAHG_01608	CDS	915	htrA_2	3.4.21.107	COG0265	Serine protease Do-like HtrA
IMKOHAHG_01609	CDS	1248	metK	2.5.1.6		S-adenosylmethionine synthase
IMKOHAHG_01610	CDS	1473	bmr3_1			Multidrug resistance protein 3
IMKOHAHG_01611	CDS	561				hypothetical protein
IMKOHAHG_01612	CDS	642				hypothetical protein
IMKOHAHG_01613	CDS	2421	leuS	6.1.1.4		Leucine--tRNA ligase
IMKOHAHG_01614	CDS	1647	murJ_1		COG2244	Lipid II flippase MurJ
IMKOHAHG_01615	CDS	705	rluB_2	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
IMKOHAHG_01616	CDS	831	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
IMKOHAHG_01617	CDS	1401		3.4.13.-		Putative dipeptidase
IMKOHAHG_01618	CDS	501				Putative universal stress protein
IMKOHAHG_01619	CDS	723				hypothetical protein
IMKOHAHG_01620	CDS	741	agrA_2		COG3279	Accessory gene regulator protein A
IMKOHAHG_01621	CDS	1230				hypothetical protein
IMKOHAHG_01622	CDS	645		2.7.1.113	COG1428	Deoxyguanosine kinase
IMKOHAHG_01623	CDS	780				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
IMKOHAHG_01624	CDS	1317				hypothetical protein
IMKOHAHG_01625	CDS	1332				hypothetical protein
IMKOHAHG_01626	CDS	729	agrA_3		COG3279	Accessory gene regulator protein A
IMKOHAHG_01627	CDS	813				hypothetical protein
IMKOHAHG_01628	CDS	1317				hypothetical protein
IMKOHAHG_01629	CDS	867				hypothetical protein
IMKOHAHG_01630	CDS	738				hypothetical protein
IMKOHAHG_01631	CDS	252				hypothetical protein
IMKOHAHG_01632	CDS	675	yvdM_2	5.4.2.6	COG0637	Beta-phosphoglucomutase
IMKOHAHG_01633	CDS	2718	trePP	2.4.1.216	COG1554	Trehalose 6-phosphate phosphorylase
IMKOHAHG_01634	CDS	387	mscL		COG1970	Large-conductance mechanosensitive channel
IMKOHAHG_01635	CDS	960		1.1.1.-		Putative 2-hydroxyacid dehydrogenase
IMKOHAHG_01636	CDS	609				hypothetical protein
IMKOHAHG_01637	CDS	861				hypothetical protein
IMKOHAHG_01638	CDS	633				hypothetical protein
IMKOHAHG_01639	CDS	321				hypothetical protein
IMKOHAHG_01640	CDS	201				hypothetical protein
IMKOHAHG_01641	CDS	735				hypothetical protein
IMKOHAHG_01642	CDS	462				hypothetical protein
IMKOHAHG_01643	CDS	1680	alsS	2.2.1.6	COG0028	Acetolactate synthase
IMKOHAHG_01644	CDS	714	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
IMKOHAHG_01645	CDS	117				hypothetical protein
IMKOHAHG_01646	CDS	1524	expZ		COG0488	Nucleotide-binding protein ExpZ
IMKOHAHG_01647	CDS	1353		5.1.1.21	COG0160	Isoleucine 2-epimerase
IMKOHAHG_01648	CDS	2460	xpkA_2	4.1.2.9		Xylulose-5-phosphate phosphoketolase
IMKOHAHG_01649	CDS	1437	ffh		COG0541	Signal recognition particle protein
IMKOHAHG_01650	CDS	393				hypothetical protein
IMKOHAHG_01651	CDS	1341	ftsY			Signal recognition particle receptor FtsY
IMKOHAHG_01652	CDS	3558	smc_4		COG1196	Chromosome partition protein Smc
IMKOHAHG_01653	CDS	702	rnc	3.1.26.3	COG0571	Ribonuclease 3
IMKOHAHG_01654	CDS	246	acpP_1		COG0236	Acyl carrier protein
IMKOHAHG_01655	CDS	1041	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
IMKOHAHG_01656	CDS	2028	recG	3.6.4.12		ATP-dependent DNA helicase RecG
IMKOHAHG_01657	CDS	1689				putative protein
IMKOHAHG_01658	CDS	363				putative protein
IMKOHAHG_01659	CDS	186	rpmB			50S ribosomal protein L28
IMKOHAHG_01660	CDS	657	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
IMKOHAHG_01661	CDS	654	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
IMKOHAHG_01662	CDS	891	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
IMKOHAHG_01663	CDS	1887	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
IMKOHAHG_01664	CDS	747	stp_2	3.1.3.16	COG0631	Serine/threonine phosphatase stp
IMKOHAHG_01665	CDS	1356	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
IMKOHAHG_01666	CDS	951	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
IMKOHAHG_01667	CDS	2415	priA	3.6.4.-		primosomal protein N'
IMKOHAHG_01668	CDS	1200	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
IMKOHAHG_01669	CDS	216	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
IMKOHAHG_01670	CDS	621	gmk_2	2.7.4.8	COG0194	Guanylate kinase
IMKOHAHG_01671	CDS	336				hypothetical protein
IMKOHAHG_01672	CDS	663	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
IMKOHAHG_01673	CDS	933	opuCC		COG1732	Carnitine transport binding protein OpuCC
IMKOHAHG_01674	CDS	630	opuCB		COG1174	Carnitine transport permease protein OpuCB
IMKOHAHG_01675	CDS	1233	opuCA	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
IMKOHAHG_01676	CDS	1683	recN		COG0497	DNA repair protein RecN
IMKOHAHG_01677	CDS	456	argR_2		COG1438	Arginine repressor
IMKOHAHG_01678	CDS	822	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
IMKOHAHG_01679	CDS	915		2.5.1.10		Farnesyl diphosphate synthase
IMKOHAHG_01680	CDS	252	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
IMKOHAHG_01681	CDS	1347	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
IMKOHAHG_01682	CDS	861	folD		COG0190	Bifunctional protein FolD protein
IMKOHAHG_01683	CDS	414	nusB			Transcription antitermination protein NusB
IMKOHAHG_01684	CDS	435				putative protein
IMKOHAHG_01685	CDS	561	efp			Elongation factor P
IMKOHAHG_01686	CDS	1068	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
IMKOHAHG_01687	CDS	282	rpmA		COG0211	50S ribosomal protein L27
IMKOHAHG_01688	CDS	327				hypothetical protein
IMKOHAHG_01689	CDS	309	rplU		COG0261	50S ribosomal protein L21
IMKOHAHG_01690	CDS	642				hypothetical protein
IMKOHAHG_01691	CDS	375				hypothetical protein
IMKOHAHG_01692	CDS	450				hypothetical protein
IMKOHAHG_01693	CDS	471				hypothetical protein
IMKOHAHG_01694	CDS	279				hypothetical protein
IMKOHAHG_01695	CDS	849				hypothetical protein
IMKOHAHG_01696	CDS	258				hypothetical protein
IMKOHAHG_01697	CDS	315				hypothetical protein
IMKOHAHG_01698	CDS	450				hypothetical protein
IMKOHAHG_01699	CDS	264				hypothetical protein
IMKOHAHG_01700	CDS	426				hypothetical protein
IMKOHAHG_01701	CDS	3561				hypothetical protein
IMKOHAHG_01702	CDS	2535				hypothetical protein
IMKOHAHG_01703	CDS	4515				hypothetical protein
IMKOHAHG_01704	CDS	315				hypothetical protein
IMKOHAHG_01705	CDS	612				hypothetical protein
IMKOHAHG_01706	CDS	186				hypothetical protein
IMKOHAHG_01707	CDS	408				hypothetical protein
IMKOHAHG_01708	CDS	393				hypothetical protein
IMKOHAHG_01709	CDS	306				hypothetical protein
IMKOHAHG_01710	CDS	207				hypothetical protein
IMKOHAHG_01711	CDS	1191				hypothetical protein
IMKOHAHG_01712	CDS	768	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
IMKOHAHG_01713	CDS	1149				hypothetical protein
IMKOHAHG_01714	CDS	1683				hypothetical protein
IMKOHAHG_01715	CDS	321				hypothetical protein
IMKOHAHG_01716	CDS	180				hypothetical protein
IMKOHAHG_01717	CDS	351				hypothetical protein
IMKOHAHG_01718	CDS	1494	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
IMKOHAHG_01719	CDS	1011	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
IMKOHAHG_01720	CDS	891	hslO			33 kDa chaperonin
IMKOHAHG_01721	CDS	2109	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
IMKOHAHG_01722	CDS	573	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
IMKOHAHG_01723	CDS	1398	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IMKOHAHG_01724	CDS	519	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
IMKOHAHG_01725	CDS	414				hypothetical protein
IMKOHAHG_01726	CDS	279				hypothetical protein
IMKOHAHG_01727	CDS	1584	murJ_2		COG2244	Lipid II flippase MurJ
IMKOHAHG_01728	CDS	3546	mfd	3.6.4.-		Transcription-repair-coupling factor
IMKOHAHG_01729	CDS	558	pth	3.1.1.29		Peptidyl-tRNA hydrolase
IMKOHAHG_01730	CDS	954	ldh	1.1.1.27	COG0039	L-lactate dehydrogenase
IMKOHAHG_01731	CDS	642				hypothetical protein
IMKOHAHG_01732	CDS	396	ndoA	3.1.27.-	COG2337	Endoribonuclease EndoA
IMKOHAHG_01733	CDS	1119	alr	5.1.1.1		Alanine racemase
IMKOHAHG_01734	CDS	363	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
IMKOHAHG_01735	CDS	1533	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
IMKOHAHG_01736	CDS	1371	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
IMKOHAHG_01737	CDS	906	htpX	3.4.24.-	COG0501	Protease HtpX 
IMKOHAHG_01738	CDS	564	lemA_2		COG1704	Protein LemA
IMKOHAHG_01739	CDS	468	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
IMKOHAHG_01740	CDS	708	strA	3.4.22.-	COG3764	Sortase A
IMKOHAHG_01741	CDS	1242	sbnD_2			Staphyloferrin B transporter
IMKOHAHG_01742	CDS	249	rpmE2		COG0254	50S ribosomal protein L31 type B
IMKOHAHG_01743	CDS	1281	murA1_2	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
IMKOHAHG_01744	CDS	1602	pyrG	6.3.4.2	COG0504	CTP synthase
IMKOHAHG_01745	CDS	594	rpoE			DNA-directed RNA polymerase subunit delta
IMKOHAHG_01746	CDS	408				hypothetical protein
IMKOHAHG_01747	CDS	834				hypothetical protein
IMKOHAHG_01748	CDS	1353				hypothetical protein
IMKOHAHG_01749	CDS	819	yidA_2	3.1.3.23	COG0561	Sugar phosphatase YidA
IMKOHAHG_01750	CDS	708				hypothetical protein
IMKOHAHG_01751	CDS	984	prs_2	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
IMKOHAHG_01752	CDS	1368	glmU		COG1207	Bifunctional protein GlmU
IMKOHAHG_01753	CDS	849	purR		COG0503	Pur operon repressor
IMKOHAHG_01754	CDS	804	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
IMKOHAHG_01755	CDS	663	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
IMKOHAHG_01756	CDS	900	fimA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
IMKOHAHG_01757	CDS	525	cysE	2.3.1.30	COG1045	Serine acetyltransferase
IMKOHAHG_01758	CDS	1140	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
IMKOHAHG_01759	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase
IMKOHAHG_01760	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
IMKOHAHG_01761	CDS	255	veg		COG4466	Protein Veg
IMKOHAHG_01762	CDS	897	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
IMKOHAHG_01763	CDS	570	rnmV	3.1.26.8	COG1658	Ribonuclease M5
IMKOHAHG_01764	CDS	810	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
IMKOHAHG_01765	CDS	2022	metG	6.1.1.10		Methionine--tRNA ligase
IMKOHAHG_01766	CDS	861				hypothetical protein
IMKOHAHG_01767	CDS	324				hypothetical protein
IMKOHAHG_01768	CDS	699	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
